episode, 	score, 	total_loss, 	actor_loss, 	critic_loss, 	entropy
12637, 	0.100000, 	0.118715, 	-0.040057, 	0.001589, 	1.384652
12638, 	0.600000, 	0.126349, 	-0.070025, 	0.001965, 	1.383545
12639, 	0.400000, 	0.214658, 	-0.021332, 	0.002361, 	1.381682
12640, 	0.200000, 	0.333733, 	-0.074344, 	0.004082, 	1.381665
12641, 	0.190000, 	0.092240, 	-0.069152, 	0.001615, 	1.381516
12642, 	0.190000, 	0.133103, 	-0.084110, 	0.002174, 	1.380563
12643, 	0.100000, 	-0.023645, 	-0.093540, 	0.000700, 	1.379113
12644, 	0.100000, 	0.094244, 	-0.043962, 	0.001383, 	1.379131
12645, 	0.100000, 	0.039506, 	-0.027818, 	0.000675, 	1.380293
12646, 	0.200000, 	0.051350, 	-0.005091, 	0.000566, 	1.380992
12647, 	0.100000, 	0.023352, 	-0.056938, 	0.000804, 	1.382215
12648, 	0.090000, 	-0.010388, 	-0.051782, 	0.000415, 	1.383168
12649, 	0.200000, 	0.298384, 	-0.051486, 	0.003500, 	1.382335
12650, 	0.100000, 	-0.011003, 	-0.035733, 	0.000249, 	1.382055
12651, 	0.090000, 	0.016860, 	0.004635, 	0.000124, 	1.382438
12652, 	0.090000, 	0.001005, 	-0.005146, 	0.000063, 	1.382800
12653, 	0.100000, 	0.046871, 	-0.011589, 	0.000586, 	1.383645
12654, 	0.200000, 	0.008548, 	-0.012691, 	0.000214, 	1.383339
12655, 	0.190000, 	0.028480, 	-0.028879, 	0.000575, 	1.381371
12656, 	0.090000, 	0.038918, 	-0.041764, 	0.000808, 	1.381450
12657, 	0.000000, 	0.115943, 	-0.027975, 	0.001441, 	1.381741
12658, 	0.900000, 	0.232513, 	-0.079806, 	0.003125, 	1.376327
12659, 	0.100000, 	0.108894, 	-0.035677, 	0.001447, 	1.376323
12660, 	0.100000, 	0.101035, 	-0.035580, 	0.001368, 	1.378164
12661, 	0.100000, 	0.027553, 	-0.031876, 	0.000596, 	1.380298
12662, 	0.100000, 	0.051758, 	-0.043296, 	0.000952, 	1.380890
12663, 	0.300000, 	0.034991, 	-0.071212, 	0.001063, 	1.381284
12664, 	0.100000, 	0.043237, 	-0.068149, 	0.001115, 	1.380469
12665, 	1.200000, 	0.334064, 	-0.108633, 	0.004428, 	1.374752
12666, 	0.200000, 	0.380891, 	-0.016969, 	0.003980, 	1.375870
12667, 	0.100000, 	0.137175, 	-0.055988, 	0.001933, 	1.377565
12668, 	0.090000, 	0.145840, 	-0.071597, 	0.002176, 	1.379582
12669, 	1.400000, 	0.549206, 	-0.115045, 	0.006644, 	1.377563
12670, 	0.000000, 	0.393359, 	-0.123616, 	0.005171, 	1.377517
12671, 	0.100000, 	0.206874, 	-0.086357, 	0.002934, 	1.379063
12672, 	0.200000, 	0.421033, 	-0.116934, 	0.005381, 	1.379843
12673, 	0.000000, 	0.266159, 	-0.087493, 	0.003538, 	1.379880
12674, 	0.000000, 	0.234338, 	-0.040581, 	0.002751, 	1.380109
12675, 	0.100000, 	0.217918, 	-0.060182, 	0.002782, 	1.381183
12676, 	2.400000, 	0.539779, 	-0.095734, 	0.006357, 	1.380664
12677, 	0.500000, 	0.292780, 	-0.185182, 	0.004781, 	1.378141
